Feature,Mean Absolute SHAP
categorical__r_case_number_14011272CF10A,0.0
categorical__r_case_number_14011300MM10A,0.0
categorical__r_case_number_14011319CF10A,0.0
categorical__r_case_number_14011327CF10A,0.0
categorical__r_case_number_14011345MM10A,0.0
categorical__r_case_number_14011577CF10A,0.0
categorical__r_case_number_14011385CF10A,0.0
categorical__r_case_number_14011400MM10A,0.0
categorical__r_case_number_14011444CF10A,0.0
categorical__r_case_number_14011467CF10A,0.0
categorical__r_case_number_14011491MM10A,0.0
categorical__r_case_number_14011500MM10A,0.0
categorical__r_case_number_14011520MM10A,0.0
categorical__r_case_number_14011545CF10A,0.0
categorical__r_case_number_14011551CF10A,0.0
categorical__r_case_number_14011574CF10A,0.0
categorical__r_case_number_14011379CF10A,0.0
categorical__r_case_number_14012562CF10A,0.0
categorical__r_case_number_14012594MM10A,0.0
categorical__r_case_number_14012622MM10A,0.0
categorical__r_case_number_14012625MM10A,0.0
categorical__r_case_number_14012656CF10A,0.0
categorical__r_case_number_14012657CF10A,0.0
categorical__r_case_number_14012666TC10A,0.0
categorical__r_case_number_14012673CF10A,0.0
categorical__r_case_number_14012675MM10A,0.0
categorical__r_case_number_14012035MM10A,0.0
categorical__r_case_number_14012733CF10A,0.0
categorical__r_case_number_14012760TC40A,0.0
categorical__r_case_number_14012776CF10A,0.0
categorical__r_case_number_14012795MM10A,0.0
categorical__r_case_number_14012805TC10A,0.0
categorical__r_case_number_14012827MM10A,0.0
categorical__r_case_number_14012837CF10A,0.0
categorical__r_case_number_14012839CF10A,0.0
categorical__r_case_number_14012841MM10A,0.0
categorical__r_case_number_14012850MM10A,0.0
categorical__r_case_number_14012699MM10A,0.0
categorical__r_case_number_14012043CF10A,0.0
categorical__r_case_number_14012048TC10A,0.0
categorical__r_case_number_14012053MM10A,0.0
categorical__r_case_number_14012056MM10A,0.0
categorical__r_case_number_14012110MM10A,0.0
categorical__r_case_number_14012121CF10A,0.0
categorical__r_case_number_14012126CF10A,0.0
categorical__r_case_number_14012240MM10A,0.0
categorical__r_case_number_14012285CF10A,0.0
categorical__r_case_number_14013542MM10A,0.0
categorical__r_case_number_14012287MM10A,0.0
categorical__r_case_number_14012292CF10A,0.0
categorical__r_case_number_14012344MM10A,0.0
categorical__r_case_number_14012348MU10A,0.0
categorical__r_case_number_14012369CF10A,0.0
categorical__r_case_number_14012415CF10A,0.0
categorical__r_case_number_14012438MO10A,0.0
categorical__r_case_number_14012503MM10A,0.0
categorical__r_case_number_14012506MM10A,0.0
categorical__r_case_number_14012521CF10A,0.0
categorical__r_case_number_14012286MM10A,0.0
categorical__r_case_number_14015745MM10A,0.0
categorical__r_case_number_14015752MM10A,0.0
categorical__r_case_number_14015761CF10A,0.0
categorical__r_case_number_14015797CF10A,0.0
categorical__r_case_number_14015800MO10A,0.0
categorical__r_case_number_14015839CF10A,0.0
categorical__r_case_number_14015841TC10A,0.0
categorical__r_case_number_14015878CF10A,0.0
categorical__r_case_number_14015883CF10A,0.0
categorical__r_case_number_14011159CF10A,0.0
categorical__r_case_number_14015904MU10A,0.0
categorical__r_case_number_14015923TC10A,0.0
categorical__r_case_number_14015947CF10A,0.0
categorical__r_case_number_14015961CF10A,0.0
categorical__r_case_number_14015969CF10A,0.0
categorical__r_case_number_14015983CF10A,0.0
categorical__r_case_number_14016007CF10A,0.0
categorical__r_case_number_14016045MM10A,0.0
categorical__r_case_number_14016052MM10A,0.0
categorical__r_case_number_14016117CF10A,0.0
categorical__r_case_number_14015889MM10A,0.0
categorical__r_case_number_14015383CF10A,0.0
categorical__r_case_number_14015400CF10A,0.0
categorical__r_case_number_14015442CF10A,0.0
categorical__r_case_number_14015498MM10A,0.0
categorical__r_case_number_14015524CF10A,0.0
categorical__r_case_number_14015555CF10A,0.0
categorical__r_case_number_14015556CF10A,0.0
